reference_number,gazetted_name,alias_local_name,site,location,ef,date,time_start,crew_members,length_surveyed,hab_value,priority,upstream_habitat_length_m,species_codes,waypoint,comments
15,Tea Creek,8300095_ds,,,,2022-09-09,17:48,AI,400,High,,,,,"High value habitat. Boulder cover throughout, gravels throughout. Few pools. Known ST stream with local landowner reporting spawning in tributaries of highway. 17:48"
16,Sandstone Creek,8530_ds_ef1,,,,2022-09-12,12:06,AI,14,,,,,,Ef seconds 203.3. Glide habitat was some steep sections and older cover. One small patch of gravel. 12:06:20
17,Sandstone Creek,8530_ds,,,,2022-09-12,11:27,Bute,275,Medium,,,,,"Medium value fish habitat. Water runs cool and clear, with good flow. Riparian g is healthy, plenty of shade and cover. Bed material consists of towels and boulders, also there are small packets of gravel suitable for spawning. Some features may be barrier natural barriers to Fish Passage, although during high flow there's a good chance strong fish can make it up. Plenty of pools available for fish to habituate, large wooden debris and small woody debris as well as boulders are quite functional and force complexity into the stream,. Stream is located mostly in a bed rock canyon, shrubs hang over the stream, taking up about 2 m on either side of the bank. 11:27:01"
18,Sandstone Creek,8530_us_ef1,,,,2022-09-13,11:39,AI,17,,,,,,"Ef 195s. One rainbow captured along with numerous cutthroat. Low-gradients shallow glide with some rifle with small woody debris, boulders and under Cutbanks throughout most of sight. 11:39:32"
19,Sandstone Creek,8530_us_ef3,,,,2022-09-13,15:22,AI,21,,,,,,EF 283s. Slightly deeper pool glide habitat for approximately 10 m at the bottom then some showerer rifle and glide in the top end. Lots of small woody debris in the deepest areas of the pool where majority of the larger fish were captured. 15:22:36
20,Sandstone Creek,8530_us_ef2,,,,2022-09-13,14:29,Bute,21,,,,,,Ef 325.5s. Mostly Riffel with some shallow glide and small Woody debris. 14:29:31
21,Tributary to Owen Creek,197379_ds_ef1,,,,2022-09-15,12:48,AI,5,,,,,,45s electrofishing . Because the stream was primarily dewatered downstream of the outlet pool this site consisted of the outlet pool only. Only a portion of the fish present in the outlet pool were sampled due to time constraints. 12:48:19
22,Tributary to Owen Creek,197379_us_ef1,,,,2022-09-15,13:04,AI,11,,,,,,235.5s electrofishing. Shallow pools with very large boulder on right bank flat faced area isolated pocket because the majority of the channel is the water. Two passes of the same site we're done but fish or not separated into passes. Some uncertainty about whether Fish marked as cutthroat or actually rainbow. There are yellow slashes under the chin but the mouth does not reach past the eye and we haven't seen any larger age class fish with the/us. The big fish all appear to be rainbow having a suspect that the small ones may also be remote. Unless they're hybrids. During the fish processing process it appeared that it is very likely that all of the fish that were classified as cutthroat were actually rainbow. We didn't find any larger fish with red slashes and as the fish got larger it appeared the yellow slight yellow slashes underneath the chins caught lighter and lighter. 13:04:29
23,Sterritt Creek,8300128_us,,,,2022-09-26,12:50,JO,500,,moderate,,,,Has potential for fish but gradient is steep. Bank full depth is very high and when stream is high it fans out. Lots of lwd are main factor in stream direction and development. Other steams near creek water is higher may be one stream. 12:50:07
24,Sterritt Creek,8300128_ds,,,,2022-09-28,10:12,JO,260,,,,,,For the gradient of stream habitat is good. A lot of lwd to help with pools and water diversion as well as created natural steps. 10:12:00
29,Tributary to Kitwanga River,8301994_ds,,,,2022-09-09,15:21,JO,200,,,,,,"Abundant overhanging veg nad a lot of downed trees, stream mainly consists of gravels and cobbles, infrequent shallow pools. 15:22:44"
25,Tributary to Zymoetz River,8527_us_mt,,,,2022-09-13,17:30,TP,,,,,,,
26,Tributary to Zymoetz River,8527_ds_mt,,,,2022-09-13,17:30,TP,,,,,,,
27,Tributary to Coal Creek,8525_us_mt,,,,2022-09-13,17:00,TP,,,,,,,
28,Tributary to Coal Creek,8525_ds_mt,,,,2022-09-13,17:00,TP,,,,,,,
